cell_lat,cell_lon,pass_count,csetn1_avg,nsi,slope_deg,rpi,nearest_psr_name,distance_km,within_psr,priority_tier,annotation
-86.375,165.125,7,1.5714,0.4745,3.35,0.141816,Sverdrup,52.4,False,Watch,
-88.375,206.875,3,1.3333,0.5541,3.92,0.141435,Shackleton,48.1,False,Watch,
-87.125,83.625,3,1.6667,0.4426,3.13,0.141413,Faustini,2.3,True,Watch,confirmed within Faustini PSR boundary
-88.125,87.125,3,0.3333,0.8885,6.31,0.140743,Faustini,28.4,False,Watch,strong CSETN suppression near Faustini
-85.625,117.125,3,1.6667,0.4426,3.18,0.139085,Faustini,78.1,False,Watch,
-88.375,41.125,3,0.6667,0.777,5.6,0.138709,Shackleton,50.0,False,Prime,strong CSETN suppression near Shackleton
-87.375,240.125,3,0.6667,0.777,5.61,0.138487,de_Gerlache,45.3,False,Prime,strong CSETN suppression near de_Gerlache
-86.375,260.875,3,1.0,0.6656,4.85,0.137252,de_Gerlache,61.0,False,Prime,
-88.375,45.375,3,1.3333,0.5541,4.05,0.136798,Shackleton,49.3,False,Watch,
-87.125,282.875,3,1.6667,0.4426,3.24,0.136558,de_Gerlache,38.6,False,Watch,
-89.375,326.375,3,1.3333,0.5541,4.13,0.134265,Shackleton,28.7,False,Watch,
-88.125,113.625,4,2.0,0.3311,2.49,0.133162,Sverdrup,39.3,False,Watch,
-86.875,58.625,4,0.25,0.9164,6.89,0.132996,Faustini,39.5,False,Watch,strong CSETN suppression near Faustini
-88.125,50.625,6,1.6667,0.4426,3.34,0.132514,Faustini,48.1,False,Watch,
-86.625,242.125,3,0.3333,0.8885,6.71,0.132323,de_Gerlache,63.6,False,Watch,strong CSETN suppression near de_Gerlache
-88.375,46.375,4,2.0,0.3311,2.52,0.131174,Shackleton,49.1,False,Watch,
-87.875,48.875,5,1.2,0.5987,4.57,0.130981,Faustini,48.3,False,Watch,
-86.125,180.625,3,1.6667,0.4426,3.39,0.130614,Sverdrup,70.1,False,Watch,
-87.125,151.125,5,1.8,0.398,3.05,0.130512,Sverdrup,26.6,False,Watch,
-85.125,191.625,3,1.3333,0.5541,4.31,0.128561,Sverdrup,107.8,False,Watch,
-87.125,278.375,3,1.3333,0.5541,4.31,0.12849,de_Gerlache,37.3,False,Watch,
-88.125,172.125,3,1.6667,0.4426,3.46,0.127993,Sverdrup,20.4,False,Watch,
-85.375,224.875,5,2.0,0.3311,2.59,0.127866,de_Gerlache,112.1,False,Watch,
-86.125,233.375,4,1.5,0.4984,3.9,0.127811,de_Gerlache,84.1,False,Watch,
-86.125,61.625,5,0.4,0.8662,6.79,0.127653,Nobile,34.1,True,Watch,confirmed within Nobile PSR — strong suppression
-86.125,60.875,4,0.75,0.7492,5.87,0.127605,Nobile,33.2,True,Prime,confirmed within Nobile PSR — strong suppression
-85.125,290.375,3,1.6667,0.4426,3.48,0.12707,Cabeus,67.3,False,Watch,
-85.625,307.375,3,1.6667,0.4426,3.49,0.126746,Cabeus,30.8,True,Watch,confirmed within Cabeus PSR boundary
-88.375,211.875,13,2.1538,0.2797,2.22,0.125967,Shackleton,49.0,False,Background,
-87.625,236.875,3,0.6667,0.777,6.18,0.125756,de_Gerlache,42.3,False,Watch,strong CSETN suppression near de_Gerlache
-87.375,355.125,5,1.6,0.4649,3.7,0.125538,Haworth,2.9,True,Watch,confirmed within Haworth PSR boundary
-85.875,115.625,3,1.6667,0.4426,3.53,0.125368,Faustini,70.1,False,Watch,
-87.125,130.625,3,1.3333,0.5541,4.42,0.125226,Sverdrup,38.3,False,Watch,
-88.125,216.875,3,0.6667,0.777,6.23,0.124737,de_Gerlache,50.0,False,Watch,strong CSETN suppression near de_Gerlache
-88.125,36.875,3,1.6667,0.4426,3.55,0.124574,Haworth,50.9,False,Watch,
-85.375,197.375,3,1.0,0.6656,5.36,0.124068,Sverdrup,106.2,False,Prime,
-88.375,226.125,5,1.2,0.5987,4.83,0.123909,de_Gerlache,39.0,False,Watch,
-85.875,156.375,3,1.6667,0.4426,3.58,0.1237,Sverdrup,64.7,False,Watch,
-88.125,56.625,3,1.0,0.6656,5.39,0.123586,Faustini,42.5,False,Prime,
-86.625,23.625,3,1.3333,0.5541,4.49,0.123295,Haworth,50.3,False,Watch,
-86.625,178.875,4,1.5,0.4984,4.04,0.123244,Sverdrup,55.0,False,Watch,
-85.375,93.125,4,1.25,0.582,4.74,0.122726,Faustini,58.4,False,Watch,
-89.375,336.625,3,1.6667,0.4426,3.61,0.122614,Shackleton,28.2,False,Watch,
-85.625,127.625,5,1.8,0.398,3.25,0.122336,Sverdrup,81.7,False,Watch,
-87.875,51.375,3,1.6667,0.4426,3.62,0.12211,Faustini,45.5,False,Watch,
-89.375,43.875,3,1.3333,0.5541,4.54,0.12196,Shackleton,20.7,False,Watch,
-88.125,55.125,3,1.3333,0.5541,4.58,0.120974,Faustini,43.9,False,Watch,
-86.625,299.875,3,1.3333,0.5541,4.61,0.12026,de_Gerlache,62.2,False,Watch,
-88.625,80.375,3,2.0,0.3311,2.76,0.119972,Shackleton,35.9,False,Watch,
-89.125,324.375,3,0.6667,0.777,6.49,0.119679,Shackleton,36.3,False,Watch,strong CSETN suppression near Shackleton
-86.875,69.625,4,1.25,0.582,4.86,0.119658,Faustini,23.4,False,Watch,
-86.875,64.625,4,1.0,0.6656,5.57,0.11957,Faustini,30.6,False,Prime,
-87.125,175.375,3,1.3333,0.5541,4.64,0.119469,Sverdrup,39.2,False,Watch,
-85.125,292.125,4,2.0,0.3311,2.79,0.11867,Cabeus,62.8,False,Watch,
-87.875,43.875,3,1.6667,0.4426,3.73,0.118618,Faustini,53.9,False,Watch,
-86.625,59.375,4,0.75,0.7492,6.33,0.11835,Faustini,42.3,False,Watch,strong CSETN suppression near Faustini
-88.625,74.125,3,1.3333,0.5541,4.7,0.117871,Shackleton,36.9,False,Watch,
-86.625,150.875,3,1.6667,0.4426,3.76,0.117597,Sverdrup,41.8,False,Watch,
-88.375,204.625,3,2.0,0.3311,2.82,0.117558,Shackleton,47.7,False,Watch,
-87.125,225.875,3,1.6667,0.4426,3.77,0.117513,de_Gerlache,63.6,False,Watch,
-86.375,167.875,3,1.3333,0.5541,4.72,0.117451,Sverdrup,53.9,False,Watch,
-86.125,232.625,6,1.6667,0.4426,3.78,0.117164,de_Gerlache,84.7,False,Watch,
-85.375,127.875,4,2.0,0.3311,2.84,0.1167,Sverdrup,88.8,False,Watch,
-86.625,243.875,4,1.25,0.582,5.0,0.116394,de_Gerlache,62.4,False,Watch,
-86.375,238.875,4,1.5,0.4984,4.29,0.116285,de_Gerlache,73.0,False,Watch,
-88.625,79.125,6,1.5,0.4984,4.29,0.116057,Shackleton,36.1,False,Watch,
-85.125,64.125,3,0.0,1.0,8.63,0.115899,Nobile,27.2,True,Watch,confirmed within Nobile PSR — strong suppression
-86.875,171.875,4,1.75,0.4148,3.6,0.115296,Sverdrup,42.6,False,Watch,
-86.125,113.625,4,1.5,0.4984,4.32,0.115241,Faustini,61.6,False,Watch,
-86.625,233.625,4,1.75,0.4148,3.62,0.114621,de_Gerlache,70.1,False,Watch,
-87.625,239.625,3,2.0,0.3311,2.91,0.113769,de_Gerlache,39.9,False,Watch,
-85.625,133.375,4,1.5,0.4984,4.38,0.113721,Sverdrup,77.9,False,Watch,
-87.875,170.125,3,1.3333,0.5541,4.9,0.113028,Sverdrup,19.5,False,Watch,
-87.625,223.625,3,1.6667,0.4426,3.92,0.112934,de_Gerlache,53.9,False,Watch,
-87.625,187.875,3,1.0,0.6656,5.9,0.112746,Sverdrup,41.7,False,Prime,
-87.625,355.375,4,1.75,0.4148,3.68,0.112714,Haworth,4.7,True,Watch,confirmed within Haworth PSR boundary
